Area,death_number,pdeath_number,Areacode,Population,Male,pMale,Female,pFemale,White,pWhite,Black,pBlack,Asian,pAsian,Household1-4,pH1-4,Household5ormore,p5_abv,Workfromhome,pWFH,Publictransport,pPublicT,Privatetravel,pPrivT,Workingage,pWorkage,Retirementage,pRetage
Adur,113,0.18,E07000223,61182,29513,48.24,31669,51.76,58663,95.88,313,0.51,1058,1.73,25679,41.97,1278,2.09,1558,2.55,5547,9.07,22074,36.08,35644,58.26,13434,21.96
Allerdale,384,0.4,E07000026,96422,47371,49.13,49051,50.87,95385,98.92,73,0.08,477,0.49,40274,41.77,2071,2.15,3217,3.34,5808,6.02,36756,38.12,57621,59.76,20033,20.78
Amber Valley,445,0.36,E07000032,122309,60192,49.21,62117,50.79,120023,98.13,253,0.21,929,0.76,49973,40.86,2623,2.14,3024,2.47,6791,5.55,49310,40.32,74900,61.24,22779,18.62
Arun,439,0.29,E07000224,149518,71303,47.69,78215,52.31,145118,97.06,538,0.36,2116,1.42,63455,42.44,3251,2.17,4133,2.76,9279,6.21,53574,35.83,83697,55.98,39328,26.3
Ashfield,467,0.39,E07000170,119497,58665,49.09,60832,50.91,116733,97.69,472,0.39,1099,0.92,48229,40.36,2702,2.26,1874,1.57,8516,7.13,44648,37.36,73486,61.5,20238,16.94
Ashford,434,0.37,E07000105,117956,57232,48.52,60724,51.48,110520,93.7,1375,1.17,3991,3.38,44272,37.53,3515,2.98,3995,3.39,8642,7.33,44595,37.81,70279,59.58,19968,16.93
Babergh,301,0.34,E07000200,87740,43004,49.01,44736,50.99,85845,97.84,264,0.3,666,0.76,35465,40.42,2057,2.34,3252,3.71,4531,5.16,34205,38.98,50743,57.83,18756,21.38
Barking and Dagenham,595,0.32,E09000002,185911,90237,48.54,95674,51.46,108386,58.3,37140,19.98,29594,15.92,60988,32.8,8693,4.68,1679,0.9,37865,20.37,35239,18.95,113046,60.81,19321,10.39
Barnet,972,0.27,E09000003,356386,172676,48.45,183710,51.55,228553,64.13,27431,7.7,65918,18.5,121145,33.99,14771,4.14,12601,3.54,79521,22.31,77197,21.66,225881,63.38,47432,13.31
Barnsley,"1,152",0.5,E08000016,231221,113634,49.15,117587,50.85,226285,97.87,1221,0.53,1661,0.72,95905,41.48,4829,2.09,3516,1.52,16935,7.32,82655,35.75,142521,61.64,40010,17.3
Barrow-in-Furness,252,0.36,E07000027,69087,34185,49.48,34902,50.52,67940,98.34,70,0.1,633,0.92,29803,43.14,1421,2.06,839,1.21,4957,7.18,25231,36.52,41969,60.75,12955,18.75
Basildon,675,0.39,E07000066,174497,84645,48.51,89852,51.49,161677,92.65,4685,2.68,4766,2.73,67950,38.94,4796,2.75,2997,1.72,22472,12.88,57100,32.72,106685,61.14,27888,15.98
Basingstoke and Deane,375,0.22,E07000084,167799,83116,49.53,84683,50.47,155888,92.9,1909,1.14,6715,4,64961,38.71,4354,2.59,5638,3.36,13386,7.98,70642,42.1,105709,63,24151,14.39
Bassetlaw,364,0.32,E07000171,112863,56024,49.64,56839,50.36,109892,97.37,520,0.46,1255,1.11,45201,40.05,2466,2.18,2698,2.39,5662,5.02,44169,39.14,68689,60.86,20941,18.55
Bath and North East Somerset,352,0.2,E06000022,176016,86072,48.9,89944,51.1,166473,94.58,1326,0.75,4577,2.6,69011,39.21,4504,2.56,6512,3.7,12756,7.25,65058,36.96,110497,62.78,31817,18.08
Bedford,659,0.42,E06000055,157479,77312,49.09,80167,50.91,126846,80.55,6202,3.94,17932,11.39,58891,37.4,4921,3.12,4229,2.69,11711,7.44,59412,37.73,96736,61.43,24868,15.79
Bexley,743,0.32,E09000004,231997,111676,48.14,120321,51.86,189962,81.88,19624,8.46,15243,6.57,84806,36.55,7798,3.36,3997,1.72,44601,19.22,60940,26.27,140645,60.62,37212,16.04
Birmingham,"3,676",0.34,E08000025,1073045,527806,49.19,545239,50.81,621636,57.93,96360,8.98,285640,26.62,359334,33.49,51402,4.79,14402,1.34,119936,11.18,286813,26.73,660697,61.57,138213,12.88
Blaby,304,0.32,E07000129,93915,46228,49.22,47687,50.78,85451,90.99,900,0.96,5718,6.09,36309,38.66,2377,2.53,2316,2.47,5523,5.88,40235,42.84,56997,60.69,16875,17.97
Blackburn with Darwen,569,0.39,E06000008,147489,73547,49.87,73942,50.13,102009,69.16,933,0.63,41494,28.13,50616,34.32,6737,4.57,2269,1.54,10510,7.13,47378,32.12,89783,60.87,19061,12.92
Blackpool,655,0.46,E06000009,142065,69775,49.11,72290,50.89,137339,96.67,346,0.24,2282,1.61,61023,42.95,3344,2.35,3305,2.33,11110,7.82,46425,32.68,85973,60.52,27239,19.17
Bolsover,280,0.37,E07000033,75866,37388,49.28,38478,50.72,74452,98.14,267,0.35,612,0.81,31076,40.96,1725,2.27,1355,1.79,4525,5.96,28467,37.52,46452,61.23,13784,18.17
Bolton,"1,030",0.37,E08000001,276786,136660,49.37,140126,50.63,226645,81.88,4652,1.68,38749,14,107604,38.88,8767,3.17,4678,1.69,23076,8.34,94972,34.31,169687,61.31,42540,15.37
Boston,244,0.38,E07000136,64637,31536,48.79,33101,51.21,62592,96.84,278,0.43,928,1.44,25617,39.63,1674,2.59,1330,2.06,4453,6.89,24820,38.4,39040,60.4,12742,19.71
"Bournemouth, Christchurch and Poole","1,162",0.31,E06000058,378888,186381,49.19,192507,50.81,356911,94.2,2367,0.62,10837,2.86,158044,41.71,9335,2.46,10226,2.7,25632,6.77,144099,38.03,232698,61.42,76656,20.23
Bracknell Forest,236,0.21,E06000036,113205,56107,49.56,57098,50.44,102554,90.59,2189,1.93,5664,5,43062,38.04,2816,2.49,3663,3.24,7437,6.57,50407,44.53,72398,63.95,14147,12.5
Bradford,"1,596",0.31,E08000032,522452,257132,49.22,265320,50.78,352317,67.44,9267,1.77,140149,26.83,175137,33.52,24159,4.62,9151,1.75,49830,9.54,158532,30.34,316481,60.58,69392,13.28
Braintree,504,0.34,E07000067,147084,72137,49.04,74947,50.96,142087,96.6,913,0.62,1998,1.36,57264,38.93,3779,2.57,4417,3,12075,8.21,57307,38.96,90045,61.22,24413,16.6
Breckland,431,0.33,E07000143,130491,64566,49.48,65925,50.52,127116,97.41,596,0.46,1040,0.8,51325,39.33,3194,2.45,3799,2.91,5843,4.48,51247,39.27,76214,58.41,28138,21.56
Brent,909,0.29,E09000005,311215,156468,50.28,154747,49.72,112880,36.27,58632,18.84,105986,34.06,92798,29.82,17488,5.62,6062,1.95,83551,26.85,56857,18.27,208175,66.89,32676,10.5
Brentwood,284,0.39,E07000068,73601,35582,48.34,38019,51.66,68868,93.57,896,1.22,2350,3.19,28764,39.08,1882,2.56,2239,3.04,11169,15.18,22637,30.76,43998,59.78,14049,19.09
Brighton and Hove,524,0.19,E06000043,273369,136108,49.79,137261,50.21,243512,89.08,4188,1.53,11278,4.13,114640,41.94,6900,2.52,10618,3.88,39366,14.4,88786,32.48,187730,68.67,35692,13.06
"Bristol, City of",760,0.18,E06000023,428234,213071,49.76,215163,50.24,359592,83.97,25734,6.01,23655,5.52,169957,39.69,12790,2.99,9578,2.24,35504,8.29,163783,38.25,284859,66.52,55872,13.05
Broadland,427,0.34,E07000144,124646,60794,48.77,63852,51.23,121795,97.71,331,0.27,1265,1.01,50829,40.78,2507,2.01,3567,2.86,7165,5.75,50289,40.35,72777,58.39,27816,22.32
Bromley,803,0.26,E09000006,309392,148588,48.03,160804,51.97,260870,84.32,18686,6.04,16067,5.19,122305,39.53,8557,2.77,8800,2.84,67217,21.73,74457,24.07,188857,61.04,52037,16.82
Bromsgrove,352,0.38,E07000234,93637,46300,49.45,47337,50.55,89696,95.79,444,0.47,1925,2.06,36211,38.67,2079,2.22,3011,3.22,5242,5.6,37797,40.37,55483,59.25,19135,20.44
Broxbourne,275,0.29,E07000095,93609,45357,48.45,48252,51.55,84530,90.3,3957,4.23,2190,2.34,34936,37.32,2722,2.91,1801,1.92,10780,11.52,33381,35.66,57095,60.99,15296,16.34
Broxtowe,375,0.34,E07000172,109487,54118,49.43,55369,50.57,101538,92.74,933,0.85,4503,4.11,44429,40.58,2391,2.18,2374,2.17,8859,8.09,41718,38.1,68130,62.23,20098,18.36
Buckinghamshire,#REF!,0.21,E06000060,505283,248346,49.15,256937,50.85,436670,86.42,10490,2.08,43269,8.56,185002,36.61,15725,3.11,21237,4.2,38500,7.62,193686,38.33,305587,60.48,84151,16.65
Burnley,384,0.44,E07000117,87059,42794,49.16,44265,50.84,76054,87.36,211,0.24,9578,11,34997,40.2,2553,2.93,1258,1.44,6893,7.92,29789,34.22,53560,61.52,14134,16.23
Bury,772,0.42,E08000002,185060,90588,48.95,94472,51.05,165032,89.18,1893,1.02,13407,7.24,72894,39.39,5219,2.82,3845,2.08,16269,8.79,67499,36.47,113568,61.37,29540,15.96
Calderdale,495,0.24,E08000033,203826,99627,48.88,104199,51.12,182787,89.68,899,0.44,16875,8.28,83114,40.78,5507,2.7,4795,2.35,18243,8.95,73135,35.88,126010,61.82,32472,15.93
Cambridge,141,0.11,E07000008,123867,62984,50.85,60883,49.15,102205,82.51,2097,1.69,13618,10.99,43521,35.14,3193,2.58,3856,3.11,8794,7.1,46458,37.51,88960,71.82,14601,11.79
Camden,369,0.17,E09000007,220338,107885,48.96,112453,51.04,146055,66.29,18060,8.2,35446,16.09,91076,41.33,6458,2.93,8984,4.08,62033,28.15,36854,16.73,157356,71.42,23977,10.88
Cannock Chase,379,0.39,E07000192,97462,48126,49.38,49336,50.62,95256,97.74,280,0.29,982,1.01,38330,39.33,2334,2.39,1562,1.6,5809,5.96,39930,40.97,60797,62.38,15657,16.06
Canterbury,546,0.36,E07000106,151145,72638,48.06,78507,51.94,140620,93.04,1937,1.28,5135,3.4,56455,37.35,4316,2.86,4165,2.76,10246,6.78,50861,33.65,93870,62.11,28445,18.82
Carlisle,421,0.39,E07000028,107524,52478,48.81,55046,51.19,105480,98.1,147,0.14,1248,1.16,46099,42.87,2243,2.09,2835,2.64,7754,7.21,43001,39.99,66654,61.99,19897,18.5
Castle Point,457,0.52,E07000069,88011,42907,48.75,45104,51.25,85273,96.89,661,0.75,1012,1.15,34052,38.69,2388,2.71,1700,1.93,9578,10.88,29926,34,51824,58.88,19001,21.59
Central Bedfordshire,821,0.32,E06000056,254381,126044,49.55,128337,50.45,238722,93.84,3614,1.42,6402,2.52,98088,38.56,6311,2.48,7938,3.12,17747,6.98,105773,41.58,158142,62.17,39889,15.68
Charnwood,462,0.28,E07000130,166100,82913,49.92,83187,50.08,145114,87.37,1327,0.8,16138,9.72,62101,37.39,4415,2.66,4044,2.43,9424,5.67,65762,39.59,106407,64.06,27262,16.41
Chelmsford,512,0.3,E07000070,168310,82914,49.26,85396,50.74,157983,93.86,2051,1.22,4962,2.95,65335,38.82,4332,2.57,4709,2.8,19014,11.3,62316,37.02,104570,62.13,28018,16.65
Cheltenham,285,0.25,E07000078,115732,56512,48.83,59220,51.17,109084,94.26,721,0.62,3675,3.18,48194,41.64,2735,2.36,3514,3.04,7272,6.28,48124,41.58,73805,63.77,19329,16.7
Cherwell,281,0.2,E07000177,141868,70126,49.43,71742,50.57,130761,92.17,1961,1.38,6039,4.26,52913,37.3,3815,2.69,4757,3.35,10285,7.25,59383,41.86,88182,62.16,21699,15.3
Cheshire East,"1,237",0.33,E06000049,370127,181409,49.01,188718,50.99,357940,96.71,1402,0.38,6060,1.64,151553,40.95,7888,2.13,13462,3.64,18655,5.04,147957,39.97,223753,60.45,71372,19.28
Cheshire West and Chester,"1,204",0.37,E06000050,329608,160586,48.72,169022,51.28,321025,97.4,908,0.28,4097,1.24,133713,40.57,7729,2.34,9450,2.87,18909,5.74,130768,39.67,202469,61.43,61100,18.54
Chesterfield,330,0.32,E07000034,103788,50900,49.04,52888,50.96,100172,96.52,782,0.75,1592,1.53,44708,43.08,2088,2.01,1690,1.63,8228,7.93,37763,36.38,63557,61.24,19291,18.59
Chichester,344,0.3,E07000225,113794,54401,47.81,59393,52.19,110322,96.95,518,0.46,1617,1.42,47194,41.47,2654,2.33,5080,4.46,5950,5.23,41862,36.79,64899,57.03,27894,24.51
Chorley,344,0.32,E07000118,107155,53708,50.12,53447,49.88,103833,96.9,401,0.37,1710,1.6,42604,39.76,2315,2.16,2809,2.62,6112,5.7,44544,41.57,67012,62.54,17962,16.76
Colchester,511,0.3,E07000071,173074,85343,49.31,87731,50.69,159306,92.05,2575,1.49,6355,3.67,67432,38.96,4202,2.43,4484,2.59,16266,9.4,64370,37.19,109985,63.55,27308,15.78
Copeland,283,0.4,E07000029,70603,35476,50.25,35127,49.75,69491,98.42,84,0.12,629,0.89,28914,40.95,1622,2.3,1339,1.9,5425,7.68,25937,36.74,43507,61.62,13354,18.91
Cotswold,201,0.24,E07000079,82881,40104,48.39,42777,51.61,81075,97.82,229,0.28,794,0.96,34405,41.51,1831,2.21,4679,5.65,3294,3.97,33235,40.1,48648,58.7,18489,22.31
County Durham,"1,872",0.36,E06000047,513242,251280,48.96,261962,51.04,503769,98.15,701,0.14,4856,0.95,213672,41.63,10131,1.97,9642,1.88,35470,6.91,181311,35.33,320806,62.51,92345,17.99
Coventry,868,0.27,E08000026,316960,157621,49.73,159339,50.27,234029,73.84,17764,5.6,51598,16.28,118165,37.28,10427,3.29,4397,1.39,30112,9.5,102190,32.24,200285,63.19,46250,14.59
Craven,153,0.28,E07000163,55409,26754,48.28,28655,51.72,53964,97.39,61,0.11,970,1.75,23367,42.17,1216,2.19,2511,4.53,3007,5.43,21868,39.47,32157,58.04,12610,22.76
Crawley,280,0.26,E07000226,106597,52698,49.44,53899,50.56,85180,79.91,3469,3.25,13825,12.97,39161,36.74,3566,3.35,1641,1.54,13632,12.79,39925,37.45,68429,64.19,13468,12.63
Croydon,"1,068",0.29,E09000008,363378,176224,48.5,187154,51.5,200195,55.09,73256,20.16,59627,16.41,131592,36.21,13418,3.69,7705,2.12,83482,22.97,80588,22.18,229959,63.28,44375,12.21
Dacorum,461,0.32,E07000096,144847,71307,49.23,73540,50.77,131537,90.81,2990,2.06,6770,4.67,56100,38.73,3838,2.65,4874,3.36,12860,8.88,55284,38.17,89298,61.65,22883,15.8
Darlington,366,0.35,E06000005,105564,51483,48.77,54081,51.23,101595,96.24,357,0.34,2205,2.09,44301,41.97,2369,2.24,2019,1.91,8167,7.74,38519,36.49,64197,60.81,18439,17.47
Dartford,347,0.36,E07000107,97365,48061,49.36,49304,50.64,85070,87.37,3578,3.67,5799,5.96,37296,38.31,2785,2.86,1786,1.83,13973,14.35,33620,34.53,60929,62.58,13952,14.33
Derby,895,0.36,E06000015,248752,123046,49.47,125706,50.53,199751,80.3,7320,2.94,31095,12.5,94157,37.85,8114,3.26,3696,1.49,19690,7.92,88458,35.56,154157,61.97,37669,15.14
Derbyshire Dales,239,0.34,E07000035,71116,35071,49.32,36045,50.68,70117,98.6,87,0.12,398,0.56,29171,41.02,1573,2.21,3705,5.21,3027,4.26,28008,39.38,41739,58.69,15827,22.26
Doncaster,"1,209",0.4,E08000017,302402,149230,49.35,153172,50.65,288066,95.26,2337,0.77,7614,2.52,118678,39.25,7809,2.58,4837,1.6,24195,8,104109,34.43,185861,61.46,51141,16.91
Dorset,866,0.34,E06000059,255013,123937,48.6,131076,51.4,249906,98,472,0.19,2467,0.97,105013,41.18,5607,2.2,10870,4.26,8803,3.45,98639,38.68,141275,55.4,65396,25.64
Dover,448,0.4,E07000108,111674,54765,49.04,56909,50.96,107966,96.68,386,0.35,2031,1.82,45370,40.63,2940,2.63,2685,2.4,7097,6.36,40187,35.99,65906,59.02,22517,20.16
Dudley,"1,070",0.34,E08000027,312925,153819,49.16,159106,50.84,281607,89.99,4671,1.49,18942,6.05,121176,38.72,8691,2.78,4931,1.58,23411,7.48,113092,36.14,186998,59.76,58197,18.6
Ealing,856,0.25,E09000009,338449,169175,49.99,169274,50.01,165818,48.99,36860,10.89,100439,29.68,107273,31.7,16809,4.97,7548,2.23,82541,24.39,73654,21.76,225617,66.66,36227,10.7
East Cambridgeshire,131,0.16,E07000009,83818,41443,49.44,42375,50.56,80673,96.25,506,0.6,1215,1.45,32531,38.81,2083,2.49,3167,3.78,5404,6.45,35112,41.89,51170,61.05,14307,17.07
East Devon,315,0.24,E07000040,132457,63321,47.8,69136,52.2,130347,98.41,146,0.11,930,0.7,56216,42.44,2855,2.16,5835,4.41,6191,4.67,47242,35.67,71535,54.01,37346,28.19
East Hampshire,257,0.22,E07000085,115608,56237,48.64,59371,51.36,111635,96.56,517,0.45,1859,1.61,44299,38.32,2959,2.56,5016,4.34,6580,5.69,46432,40.16,68464,59.22,22303,19.29
East Hertfordshire,339,0.25,E07000242,137687,67690,49.16,69997,50.84,131456,95.47,984,0.71,2681,1.95,53117,38.58,3460,2.51,5007,3.64,14410,10.47,52466,38.11,84899,61.66,21253,15.44
East Lindsey,564,0.41,E07000137,136401,66427,48.7,69974,51.3,134314,98.47,264,0.19,789,0.58,58037,42.55,2853,2.09,4286,3.14,4239,3.11,47300,34.68,76809,56.31,35439,25.98
East Riding of Yorkshire,"1,140",0.34,E06000011,334179,163388,48.89,170791,51.11,327789,98.09,598,0.18,2961,0.89,136246,40.77,6786,2.03,9911,2.97,16220,4.85,131252,39.28,198649,59.44,71455,21.38
East Staffordshire,530,0.47,E07000193,113583,56385,49.64,57198,50.36,102704,90.42,1023,0.9,7864,6.92,44067,38.8,3184,2.8,2820,2.48,6414,5.65,45430,40,69628,61.3,19131,16.84
East Suffolk,758,0.32,E07000244,239552,116684,48.71,122868,51.29,232565,97.08,925,0.39,2991,1.25,98758,41.23,5683,2.37,7177,3,10266,4.29,88825,37.08,135414,56.53,56298,23.5
Eastbourne,371,0.37,E07000061,99412,47559,47.84,51853,52.16,93508,94.06,783,0.79,2795,2.81,42644,42.9,2368,2.38,2240,2.25,8049,8.1,33880,34.08,57901,58.24,22303,22.43
Eastleigh,258,0.21,E07000086,125199,61384,49.03,63815,50.97,118537,94.68,605,0.48,3740,2.99,49166,39.27,3011,2.4,3247,2.59,7993,6.38,54139,43.24,77446,61.86,20831,16.64
Eden,192,0.37,E07000030,52564,26033,49.53,26531,50.47,51999,98.93,22,0.04,292,0.56,21914,41.69,1129,2.15,3341,6.36,2271,4.32,21632,41.15,31281,59.51,11529,21.93
Elmbridge,316,0.24,E07000207,130875,63462,48.49,67413,51.51,118123,90.26,1010,0.77,7075,5.41,49341,37.7,3581,2.74,6287,4.8,17376,13.28,40602,31.02,78229,59.77,21518,16.44
Enfield,766,0.25,E09000010,312466,150654,48.21,161812,51.79,190640,61.01,53687,17.18,34893,11.17,107394,34.37,12522,4.01,5954,1.91,60398,19.33,70291,22.5,195085,62.43,38833,12.43
Epping Forest,474,0.38,E07000072,124659,60440,48.48,64219,51.52,112869,90.54,2404,1.93,5922,4.75,48604,38.99,3387,2.72,3673,2.95,18565,14.89,38994,31.28,76064,61.02,22550,18.09
Epsom and Ewell,255,0.34,E07000208,75102,36412,48.48,38690,51.52,64502,85.89,1128,1.5,6484,8.63,27716,36.9,2068,2.75,2285,3.04,11086,14.76,24409,32.5,45808,60.99,12575,16.74
Erewash,407,0.36,E07000036,112081,54934,49.01,57147,50.99,108765,97.04,536,0.48,1383,1.23,46482,41.47,2210,1.97,2185,1.95,7784,6.94,44663,39.85,69007,61.57,19996,17.84
Exeter,200,0.17,E07000041,117773,57211,48.58,60562,51.42,109590,93.05,667,0.57,4595,3.9,46091,39.14,3151,2.68,2622,2.23,9714,8.25,44545,37.82,78454,66.61,18269,15.51
Fareham,350,0.31,E07000087,111581,54634,48.96,56947,51.04,107959,96.75,357,0.32,1667,1.49,44102,39.52,2477,2.22,3003,2.69,6027,5.4,46884,42.02,66503,59.6,22776,20.41
Fenland,316,0.33,E07000010,95262,46811,49.14,48451,50.86,92631,97.24,497,0.52,1075,1.13,38195,40.09,2425,2.55,2202,2.31,4796,5.03,37232,39.08,56772,59.6,19319,20.28
Folkestone and Hythe,543,0.5,E07000112,107969,53135,49.21,54834,50.79,102215,94.67,458,0.42,3699,3.43,44318,41.05,3061,2.84,2705,2.51,7261,6.73,37938,35.14,63549,58.86,22415,20.76
Forest of Dean,172,0.21,E07000080,81961,40272,49.14,41689,50.86,80699,98.46,199,0.24,473,0.58,32082,39.14,2085,2.54,2983,3.64,3557,4.34,32283,39.39,48552,59.24,16986,20.72
Fylde,353,0.47,E07000119,75757,36781,48.55,38976,51.45,73844,97.47,163,0.22,845,1.12,33451,44.16,1434,1.89,2131,2.81,3731,4.92,28437,37.54,43671,57.65,18343,24.21
Gateshead,639,0.32,E08000037,200214,97974,48.93,102240,51.07,192742,96.27,1081,0.54,3738,1.87,85087,42.5,4067,2.03,2868,1.43,25614,12.79,62836,31.38,124693,62.28,35245,17.6
Gedling,393,0.35,E07000173,113543,55348,48.75,58195,51.25,105656,93.05,1653,1.46,3343,2.94,46785,41.2,2564,2.26,2578,2.27,11180,9.85,41555,36.6,69278,61.01,21016,18.51
